run_name,augmentation_type,epochs,batch_size,lr,best_epoch,best_val_dice,best_val_loss,best_threshold,final_test_dice,final_test_loss,notes
unet_isic_noaug_lr1e4_e20,noaug,20,2,0.0001,20,0.7447,0.5767,0.3,0.7296,0.5843,
unet_isic_noaug_lr3e4_e20,noaug,20,2,0.0003,20,0.7412,0.5913,0.3,0.7199,0.6007,
unet_isic_noaug_lr1e3_e20,noaug,20,2,0.001,10,0.5986,0.8883,0.3,0.5762,0.892,
unet_isic_noaug_lr5e5_e20,noaug,20,2,5e-05,20,0.752,0.5574,0.4,0.7321,0.5703,
unet_isic_lightaug_lr1e4_e20,lightaug,20,2,0.0001,19,0.7399,0.5873,0.4,0.7237,0.5882,
unet_isic_lightaug_lr5e5_e20,lightaug,20,2,5e-05,19,0.7437,0.5745,0.5,0.7318,0.5735,
unet_isic_noaug_lr5e5_e40,noaug,40,2,5e-05,24,0.8611,0.426,0.5,0.8433,0.4592,
unet_isic_geomaug_lr5e5_e40,geomaug,40,2,5e-05,39,0.8779,0.3728,0.5,0.859,0.4085,
unet_isic_mildaug_lr5e5_e40,mildaug,40,2,5e-05,40,0.8775,0.3717,0.4,0.8537,0.4091,
unet_isic_strongaug_lr5e5_e40,strongaug,40,2,5e-05,33,0.882,0.3604,0.5,0.8567,0.4059,
unet_isic_noaug_lr3e5_e40,noaug,40,2,3e-05,35,0.8693,0.422,0.4,0.8485,0.4691,
unet_isic_mildaug_lr3e5_e40,mildaug,40,2,3e-05,40,0.8762,0.3733,0.4,0.8578,0.4047,
unet_isic_noaug_lr7e5_e40,noaug,40,2,7e-05,21,0.8625,0.4143,0.4,0.8446,0.4488,
unet_isic_mildaug_lr7e5_e40,mildaug,40,2,7e-05,39,0.8799,0.3626,0.5,0.8546,0.4086,
unet_isic_geomaug_lr5e5_e75_final,geomaug,75,2,5e-05,41,0.8798,0.3652,0.5,0.8601,0.3991,
